category,video_title,content,similarity_score,is_euphemism,timestamp,author_id,is_first_time_appearance
Sexuality,Pregnant Prostitute Still Working Chattanooga &amp; Cleveland,she's pretty hot!,0.3042,False,2008-05-15 15:22:05+00:00,UC3xvZHx1ax4LuIp1Re6JlJA,False
Sexuality,Pregnant Prostitute Still Working Chattanooga &amp; Cleveland,this is so sad.,0.332,False,2008-05-30 20:52:15+00:00,UC9d0ayZCvqiTNXQZ8k3LMzw,False
Sexuality,Pregnant Prostitute Still Working Chattanooga &amp; Cleveland,"i hope they take that kid away from her- if she cant stop whoring her self out with a baby inside her- shes not going to do it once the babys here and thats not a lifestyle that baby needs to be any part of, tts just an accident waiting to happen. im also willing to bet shes on drugs. isnt it nice to see the ""officials"" turn a blind eye to the situation- hats of to cleveland pd! ex bf is the father my ass! i hope for the babys sake she puts it up for adoption so it has some chance at a life!",0.2672,False,2008-06-05 03:17:21+00:00,UC8_jWYNGHoXaU0PM57uvqqQ,False
Sexuality,Pregnant Prostitute Still Working Chattanooga &amp; Cleveland,"this is the reason prostitution should be legalized. they would have to get a license and medical check- up. we can't legislate morality, prostitution has gone on since the beginning of time and will continue forever. women keep prostitution from becoming legal, they don't want the competition.",0.6057,False,2008-07-02 16:20:38+00:00,UCH5cw69qxLtKNo_D_lTLJNg,False
Sexuality,Pregnant Prostitute Still Working Chattanooga &amp; Cleveland,i'd hit that.,0.2111,False,2008-07-21 09:53:51+00:00,UCxLCeQKcXURv27BvYSWpDAg,False
Sexuality,Pregnant Prostitute Still Working Chattanooga &amp; Cleveland,melan4; chattanooga is corrupt.,0.4131,False,2008-08-11 10:47:07+00:00,UCH5cw69qxLtKNo_D_lTLJNg,False
Sexuality,Pregnant Prostitute Still Working Chattanooga &amp; Cleveland,she's only 24?!!!,0.1729,False,2008-08-24 06:18:21+00:00,UCbeLmb92ySOCvvtkny_OlxA,False
Sexuality,Pregnant Prostitute Still Working Chattanooga &amp; Cleveland,"this kind of shit happens in atlanta, too =( it's sad. i know they say they can make all kinds of money, but you'd think people would have morals...",0.3292,False,2008-09-10 11:24:19+00:00,UCR23G115mK_L-SKpubUYFRA,False
Sexuality,Pregnant Prostitute Still Working Chattanooga &amp; Cleveland,"mental illness, homelessness, no familial or community connection. she is broke in jail and although appears ""together"" she has been arrested over and over again. class c misdemeanors get you 3 days or 50.00 fine. law needs to be changed. even then, are you proactive enough to get involved and do something other than write on a web? the illegal alien claiming this child has 12 alias. help us stop the madness...and stds and crack babies and as alecia said in court, ""the family curse.""",0.3701,False,2008-09-11 17:22:24+00:00,UCDHKg5eyKav0Tio9JpbPLqg,False
Sexuality,Pregnant Prostitute Still Working Chattanooga &amp; Cleveland,once a whore here in chattanooga jumped in my car and wouldnt get out so i dragged her out and she sprayed me with hairsparay.,0.3038,False,2008-09-13 15:28:44+00:00,UCwP06qOS0fzDxLT3a8AfH2Q,False
